PR Number,PR Title,PR URL,Labels
23799,Add 2025-08-01-preview API,https://github.com/Azure/azure-rest-api-specs-pr/pull/23799,brownfield
23795,Personal/joschung/api review updates 1,https://github.com/Azure/azure-rest-api-specs-pr/pull/23795,resource-manager+RPaaS+TypeSpec
23783,Merge branch main into RPSaaSDev,https://github.com/Azure/azure-rest-api-specs-pr/pull/23783,
23775,Added expired status to the messagestatus object ,https://github.com/Azure/azure-rest-api-specs-pr/pull/23775,data-plane+TypeSpec
23770,[CTSRP][FlowProfile] Update,https://github.com/Azure/azure-rest-api-specs-pr/pull/23770,TypeSpec
23767,Merge branch main into RPSaaSDev,https://github.com/Azure/azure-rest-api-specs-pr/pull/23767,
23765,Revert to proxy resources,https://github.com/Azure/azure-rest-api-specs-pr/pull/23765,
23763,Basebd cpucorecount to optional,https://github.com/Azure/azure-rest-api-specs-pr/pull/23763,resource-manager+RPaaS+TypeSpec
23759,Merge branch main into RPSaaSDev,https://github.com/Azure/azure-rest-api-specs-pr/pull/23759,
