PR Number,PR Title,PR URL,Labels
23797,Release managedops microsoft.managed ops preview/2025 07 28 preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/23797,
23794,OpenAI v1: initial mirror of generated OAS3 (Swagger) outputs ,https://github.com/Azure/azure-rest-api-specs-pr/pull/23794,data-plane
23788,Bump cross-env from 7.0.3 to 10.0.0 in /.github,https://github.com/Azure/azure-rest-api-specs-pr/pull/23788,dependencies+customer-reported+javascript
23787,Bump cross-env from 7.0.3 to 10.0.0 in /.github/shared,https://github.com/Azure/azure-rest-api-specs-pr/pull/23787,dependencies+customer-reported+javascript
23786,Bump the eslint group across 2 directories with 2 updates,https://github.com/Azure/azure-rest-api-specs-pr/pull/23786,dependencies+customer-reported+javascript
23781,Add new api version with new resource type Microsoft.App/AgentSpaces,https://github.com/Azure/azure-rest-api-specs-pr/pull/23781,WaitForARMFeedback+ARMReview+resource-manager+SuppressionReviewRequired+new-api-version+brownfield
23777,Created Sample for Replace and Cancel Keys,https://github.com/Azure/azure-rest-api-specs-pr/pull/23777,resource-manager+TypeSpec
23771,Bump zod from 4.0.8 to 4.0.10 in /.github,https://github.com/Azure/azure-rest-api-specs-pr/pull/23771,dependencies+customer-reported+javascript
23757,[tsp] fully qualify legacy namespace,https://github.com/Azure/azure-rest-api-specs-pr/pull/23757,TypeSpec+BreakingChange-Python-Sdk
